iter	Passed	Remaining
401	17613	26200
402	17685	26199
403	17732	26160
404	17776	26116
405	17820	26072
406	17862	26025
407	17903	25977
408	17941	25925
409	17984	25880
410	18028	25836
411	18071	25791
412	18114	25745
413	18157	25701
414	18200	25656
415	18241	25608
416	18283	25561
417	18324	25514
418	18365	25465
419	18406	25418
420	18448	25372
421	18490	25326
422	18532	25279
423	18575	25234
424	18620	25192
425	18663	25147
426	18708	25105
427	18747	25055
428	18793	25014
429	18837	24970
430	18880	24925
431	18923	24880
432	18968	24839
433	19029	24816
434	19076	24777
435	19124	24738
436	19170	24698
437	19213	24653
438	19265	24618
439	19311	24577
440	19358	24538
441	19401	24493
442	19445	24449
443	19488	24404
444	19530	24358
445	19578	24319
446	19629	24284
447	19696	24268
448	19747	24233
449	19801	24202
450	19861	24177
451	19915	24145
452	19965	24108
453	20012	24068
454	20068	24038
455	20114	23996
456	20156	23949
457	20199	23903
458	20243	23860
459	20287	23816
460	20328	23767
461	20380	23733
462	20424	23688
463	20473	23650
464	20519	23608
465	20564	23564
466	20607	23519
467	20651	23476
468	20695	23430
469	20738	23386
470	20787	23347
471	20834	23306
472	20879	23263
473	20923	23218
474	20964	23170
475	21005	23123
476	21047	23077
477	21090	23031
478	21133	22986
479	21176	22941
480	21220	22896
481	21265	22854
482	21321	22822
483	21364	22776
484	21405	22729
485	21450	22685
486	21494	22642
487	21537	22596
488	21577	22548
489	21619	22502
490	21661	22455
491	21712	22418
492	21752	22370
493	21793	22323
494	21834	22275
495	21876	22229
496	21917	22182
497	21976	22152
498	22029	22117
499	22081	22081
500	22121	22032
501	22157	21981
502	22202	21937
503	22257	21904
504	22301	21860
505	22340	21810
506	22383	21765
507	22426	21720
508	22470	21675
509	22513	21630
510	22556	21585
511	22601	21541
512	22644	21496
513	22686	21451
514	22730	21406
515	22771	21359
516	22814	21314
517	22857	21268
518	22899	21223
519	22942	21177
520	22986	21133
521	23029	21088
522	23072	21043
523	23116	20998
524	23164	20957
525	23210	20915
526	23254	20872
527	23297	20826
528	23341	20782
529	23385	20738
530	23427	20692
531	23473	20649
532	23518	20606
533	23561	20561
534	23603	20515
535	23644	20468
536	23688	20423
537	23731	20379
538	23773	20332
539	23817	20288
540	23860	20243
541	23903	20199
542	23948	20155
543	23989	20109
544	24033	20065
545	24079	20022
546	24129	19983
547	24181	19945
548	24235	19909
549	24275	19861
550	24316	19815
551	24359	19770
552	24402	19724
553	24445	19679
554	24494	19639
555	24545	19601
556	24586	19554
557	24628	19508
558	24671	19463
559	24715	19419
560	24758	19374
561	24802	19329
562	24845	19285
563	24887	19239
564	24929	19193
565	24971	19147
566	25012	19101
567	25051	19053
568	25093	19007
569	25137	18963
570	25189	18925
571	25233	18880
572	25276	18835
573	25318	18790
574	25360	18744
575	25402	18698
576	25446	18654
577	25489	18609
578	25530	18563
579	25572	18518
580	25621	18477
581	25664	18432
582	25708	18388
583	25750	18342
584	25803	18304
585	25844	18258
586	25885	18212
587	25928	18167
588	25970	18122
589	26016	18079
590	26058	18033
591	26100	17988
592	26140	17941
593	26180	17894
594	26222	17848
595	26263	17803
596	26322	17768
597	26369	17726
598	26413	17682
599	26457	17638
600	26499	17592
601	26543	17548
602	26588	17505
603	26633	17461
604	26680	17419
605	26724	17375
606	26768	17331
607	26812	17286
608	26853	17240
609	26895	17195
610	26937	17150
611	26981	17105
612	27024	17061
613	27067	17016
614	27111	16971
615	27154	16927
616	27197	16882
617	27243	16840
618	27296	16801
619	27345	16760
620	27390	16716
621	27430	16669
622	27474	16625
623	27518	16581
624	27561	16536
625	27607	16494
626	27649	16448
627	27690	16402
628	27732	16357
629	27775	16312
630	27817	16267
631	27860	16222
632	27903	16178
633	27977	16151
634	28034	16114
635	28126	16097
636	28193	16066
637	28246	16027
638	28299	15987
639	28343	15942
640	28391	15901
641	28475	15878
642	28530	15840
643	28589	15804
644	28636	15761
645	28688	15720
646	28734	15677
647	28778	15632
648	28840	15597
649	28884	15553
650	28928	15508
651	28980	15468
652	29024	15423
653	29068	15378
654	29113	15334
655	29156	15289
656	29224	15257
657	29267	15211
658	29323	15173
659	29402	15146
660	29460	15109
661	29503	15063
662	29548	15019
663	29592	14974
664	29634	14928
665	29676	14882
666	29723	14839
667	29767	14794
668	29815	14751
669	29869	14711
670	29920	14670
671	29979	14632
672	30032	14592
673	30077	14547
674	30125	14504
